start	end	text
0	2820	Эта задача довела до ярости сотни математиков.
3180	5900	Представьте перед вами три двери, за одной автомобиль,
5900	8640	за двумя другими козы, и вы выбираете, например,
8880	9680	первую дверь.
9840	12020	Ведущий, который знает, где машина, открывает одну
12020	15120	из оставшихся дверей и там коза, и предлагает, хотите
15120	17640	поменять свой выбор, и кажется, что шансы теперь
17640	19500	50 на 50, но это не так.
19960	22060	Если поменять дверь, вы выиграете с вероятностью
22060	22940	две третьих.
23060	23820	Вопрос почему?
24100	26380	Когда вы выбирали, шанс угадать был всего один из
26380	29480	трех, значит в двух случаях из трех машина была за другими
29480	30100	дверями.
30300	32800	Ведущий просто убрал из них пустую, и вся эта
32800	35560	вероятность две трети перешла на оставшуюся дверь.
35740	39080	Задачи на вероятность есть и в ОГ, и в ЕГ, и интуиция
39080	40460	там подводит также часто.
40880	43680	Если хотите, чтобы ваш ребенок решал их уверенно, напишите
43680	46600	в комментариях слово «вероятность», и я запишу его на пробное
46600	47040	занятие.
