start	end	text
0	2920	Есть профессия, где человек ставит подпись по цифре,
3060	4980	от которой зависят выплаты миллиону людей.
5280	7440	И это не бухгалтер и не финансовый директор.
7800	8780	Это актуарий.
8940	11060	Зарплата от 800 тысяч рублей в месяц,
11180	14940	а сертифицированных специалистов на всю страну несколько сотен человек.
15340	18220	Чем они занимаются? Они считают будущее в деньгах.
18400	22100	Сколько людей из миллиона застрахованных обратятся за выплаты в следующем году?
22460	25160	Хватит ли пенсионному фонду денег через 30 лет?
25500	29500	Сколько должна оставить страховка компании, чтобы она не разорилась и клиент не ушел?
29500	32680	Ошибка в третьем знаке после запятой это миллиарды рублей.
33040	36640	Без подписи актуария страховая компания в принципе не имеет права работать.
37200	40700	За этим стоит теория вероятности и статистика и финансовая математика.
40940	43500	А начинается все с обычных школьных процентов и вероятности.
44200	47000	Тех самых тем, которые большинство детей проходят мимо.
47360	48860	Такому не учат на рабочем месте.
48960	50500	Либо математика поставлена со школы,
51180	53520	либо человек в принципе не заходит в эту профессию.
53900	55640	Пишите слово пробное в комментариях,
55680	58420	а я проведу для вашего ребенка первое занятие по математике.
